region_code,region_name,tehsil_code,num_households,centre_lat,centre_long,ne_lat, ne_long,sw_lat,sw_long
191037,Kahanv,961,224.0,26.2618301,83.8605559,26.2669299,83.8730299,26.25019,83.8492499
135743,Munda Hardas,800,326.0,27.8577934,80.361689,27.86656,80.37374,27.8480401,80.35329
135747,Salahpur Grant,800,254.0,27.8703926,80.4173514,27.87797,80.4322101,27.8624201,80.4037001
135748,Bhirawan Grant,800,1084.0,27.8551114,80.4270885,27.87444,80.44131,27.8459201,80.4068601
191045,Goharia,961,175.0,26.2370009,83.8645317,26.2403399,83.87101,26.2313,83.8568201
191047,Deubari,961,174.0,26.257779,83.8174685,26.2623301,83.8207178,26.25449,83.8131599
135948,Bhanpur,800,145.0,27.0264423,82.6618468,27.03467,82.67131,27.02217,82.65759
191050,Mouna Garhwa,961,420.0,26.2552027,83.8088474,26.2597,83.81385,26.2506399,83.8039401
135607,Garabapur,800,280.0,27.941659,80.1944807,27.94643,80.2002398,27.9345101,80.1888501
191052,Barhouna Hardo,961,169.0,26.2469503,83.8221101,26.2518901,83.8334501,26.2418701,83.81038
135757,Gulhra Grant,800,287.0,27.8346028,80.4243066,27.8404701,80.4367199,27.82826,80.41378
135758,Chanwa,800,128.0,27.8334389,80.4076132,27.83798,80.41701,27.82286,80.39787
135759,Bichiya Nagar,800,163.0,27.8143185,80.4099621,27.82666,80.41644,27.8063099,80.39758
135760,Behralal,800,255.0,27.8222179,80.413178,27.83035,80.4204999,27.8112701,80.4053
135761,Khanpur Grant,800,397.0,27.8171883,80.4243066,27.8299901,80.4366501,27.80416,80.41374
135763,Ashiq Nagar Grant,800,568.0,27.7831281,80.4354337,27.8022,80.4467,27.77146,80.42358
191060,Nenua,961,189.0,26.2517064,83.8645317,26.2539906,83.8704765,26.2491216,83.8613892
191062,Baguchi,961,138.0,26.213696,83.8698323,26.2194499,83.87546,26.20874,83.8665299
135768,Rahi Paras,800,164.0,27.7738329,80.3853501,27.78197,80.3916399,27.76626,80.3786301
191065,Nariyad,961,436.0,26.203457,83.8711574,26.2099201,83.88611,26.1911699,83.86023
135770,Kaimhara,800,327.0,27.7699673,80.413178,27.78129,80.4269699,27.76301,80.40005
191067,Gorouli,961,209.0,26.196722,83.8857315,26.20411,83.8958701,26.1917401,83.8787001
135772,Hindu Nagar Grant,800,158.0,27.7564148,80.44795,27.76352,80.4534,27.7472701,80.4369799
215450,Kasganj,1010,622.0,27.8129344,78.649785,27.8220163,78.6628036,27.7873779,78.6246873
191073,Dewasia Bangar,961,459.0,26.1740391,83.8711574,26.1919001,83.88544,26.1571799,83.86726
135778,Sahupur,800,194.0,25.9910109,83.6866967,25.99836,83.7011799,25.9845901,83.67522
215483,Bharsoli Mustafabad,1010,156.0,27.7911953,78.5007657,27.80188,78.5117599,27.7840901,78.4904901
191077,Chhitupur,961,147.0,25.2646819,83.0025643,25.2684598,83.0058951,25.2597171,82.9971171
135782,Bandukhera,800,112.0,27.720411,80.3895248,27.72716,80.39462,27.7123399,80.38357
135953,Semra Janipur,800,295.0,27.8641009,80.2864862,27.8727299,80.29933,27.8557701,80.27384
191080,Narouli Khem,962,276.0,26.4012778,83.8386845,26.41025,83.8421901,26.3927701,83.83668
135787,Semrawan,800,866.0,26.7259273,81.3811839,26.73846,81.39402,26.7101901,81.36594
191085,Jadpura,962,289.0,26.3987127,83.8645317,26.40734,83.87227,26.3919901,83.85889
135790,Lohanna,800,155.0,28.4082975,80.0227514,28.42139,80.04265,28.39498,80.00949
191087,Khkhundu,962,1127.0,26.3946362,83.8380216,26.3979681,83.8411178,26.3914769,83.8342459
191089,Narouli Bhism,962,111.0,26.3913548,83.8300664,26.3959899,83.8358401,26.3881999,83.82611
135795,Achhraul,800,191.0,27.8376443,80.5521785,27.84405,80.56056,27.82482,80.5387801
135796,Rewana Temhara,800,327.0,27.8268154,80.542456,27.8364899,80.55335,27.81819,80.53346
135797,Magahi,800,458.0,27.8252683,80.541067,27.8348257,80.5478097,27.8176712,80.5316733
135798,Khundehra,800,328.0,27.8237378,80.5188396,27.82871,80.52742,27.8108199,80.5075701
135799,Sandilwa,800,488.0,27.8155625,80.5688428,27.8375999,80.57941,27.8017801,80.5574999
191096,Sukarouli,962,129.0,26.3871823,83.8698323,26.39208,83.87891,26.38234,83.86507
191097,Khirsar,962,189.0,26.3837892,83.8592306,26.3856199,83.8699799,26.38045,83.85671
135803,Jalalpur,800,296.0,26.3093328,82.7374115,26.3189213,82.7488807,26.296563,82.7265358
135804,Dhakhiya Jat,800,128.0,27.809205,80.539678,27.8160501,80.5503701,27.80382,80.5318701
191101,Surhan,962,168.0,25.3404115,82.6510449,25.3486499,82.66155,25.3317799,82.63861
191102,Sheswar,962,103.0,26.3801168,83.8764575,26.3843401,83.88094,26.3721799,83.869
191103,Khajuri Karouta,962,302.0,26.4340945,83.8671821,26.4432001,83.8741601,26.42649,83.86086
135808,Nimchaini,800,494.0,27.7822889,80.5494007,27.79194,80.5601499,27.7711099,80.53631
135809,Bajarkha,800,221.0,27.7640798,80.5591224,27.7756199,80.56887,27.75153,80.5427399
191107,Parasia Karakathi,962,569.0,26.4292361,83.8910303,26.4394001,83.9013699,26.42471,83.87869
191108,Achaula,962,139.0,26.420306,83.888381,26.4275801,83.8960799,26.4142,83.87727
191109,Noonkhar,962,870.0,26.4168011,83.8751325,26.4204866,83.8790059,26.41107,83.8704013
135814,Saraiyan,800,273.0,27.8182217,80.6077132,27.82979,80.61971,27.8031301,80.5966398
191111,Magraich,962,299.0,26.3921008,83.8817571,26.3984999,83.8960699,26.3843699,83.87315
191112,Dhanouti,962,100.0,26.3634647,83.8479642,26.3671,83.85191,26.36166,83.84416
191114,Sathiyaon,962,365.0,26.4389554,83.912221,26.44692,83.9200101,26.43339,83.9023199
135819,Kalliyarampur,800,338.0,27.782238,80.5910567,27.7972299,80.59846,27.77684,80.57278
191117,Ahirouli,962,503.0,26.4287252,83.9135452,26.4400101,83.9242399,26.41689,83.9033499
191118,Belwa Babu,962,208.0,26.4218833,83.9254615,26.4267499,83.9316,26.41463,83.91758
135823,Garhi Ibrahimpur,800,229.0,27.7535741,80.5966093,27.7592101,80.6060601,27.74945,80.58965
135824,Muraitajpur,800,336.0,27.7578651,80.5743969,27.77047,80.59461,27.75161,80.5613299
191121,Pipra Shukla,962,144.0,26.4236968,83.8989777,26.4305399,83.90401,26.4194,83.89386
135827,Sukuruddinpur,800,104.0,27.932209,80.0632713,27.9386401,80.07153,27.9273899,80.0519599
191125,Babhani,962,153.0,24.676856,83.2298555,24.67988,83.2367101,24.6741401,83.22442
191126,Pipara Devraj,962,239.0,26.4052117,83.9135452,26.4152699,83.9221301,26.39743,83.90725
135831,Sisoranasir,800,963.0,27.9156915,80.0953942,27.92913,80.11147,27.9001601,80.07626
191128,Purnac Chhapar,962,196.0,26.4117643,83.929433,26.42385,83.93816,26.40768,83.9207299
191129,Jiraso,962,165.0,26.4041354,83.9228136,26.40886,83.9294,26.39612,83.91728
135834,Nawagaonjat,800,286.0,27.8937066,80.1121493,27.90361,80.1231,27.8788901,80.0923899
135836,Sisorasahamat,800,454.0,27.8982966,80.0953942,27.9061001,80.1084301,27.8845001,80.0791301
191135,Sahopar,962,682.0,26.3745152,83.9175175,26.3842701,83.92632,26.3672399,83.91085
135840,Gauhania Alam,800,161.0,27.9152167,80.0388219,27.92021,80.04338,27.90726,80.0346501
191137,Salhapur,962,397.0,29.950096,77.3396212,29.9561894,77.3453829,29.9438999,77.3367548
191140,Mahurao,962,268.0,26.4305192,83.9559036,26.4376001,83.9676098,26.4238199,83.9499
191143,Khori Bari,962,495.0,26.4257548,83.9823627,26.4353,83.99235,26.42174,83.9633701
191144,Rampur,962,561.0,25.4842209,82.5916032,25.4882,82.59499,25.47884,82.5731599
191145,Chakara Tiwari,962,156.0,26.4114038,83.9642533,26.4145699,83.97212,26.4049999,83.96159
191146,Doomri,962,198.0,26.413962,83.9466402,26.41584,83.95061,26.41104,83.9373199
191147,Pipra Diksit,962,200.0,26.4067659,83.9506365,26.41272,83.9590801,26.4019001,83.9441599
135852,Bhurha,800,190.0,27.1682468,79.7203565,27.1814801,79.73302,27.1603101,79.71149
191149,Mishrouli,962,156.0,26.0743142,84.0372286,26.07825,84.04044,26.07182,84.0323899
191150,Mishrouli Diksit,962,303.0,26.3932738,83.9439933,26.40295,83.95581,26.3842801,83.93335
191151,Jigni Diksit,962,287.0,26.3891437,83.9506104,26.40177,83.9611199,26.38237,83.9459199
135856,Kasarawal,800,278.0,27.8817058,80.1065646,27.8864499,80.11803,27.8703599,80.0980999
191153,Jigna Mishra,962,325.0,26.3729191,83.9492871,26.3830899,83.9572999,26.36462,83.94193
135858,Bhilawan,800,193.0,27.8635018,80.0953942,27.86967,80.10161,27.8559599,80.0889398
135859,Chhapaura,800,179.0,27.8625188,80.1623948,27.8696601,80.1687799,27.8541699,80.1554
191156,Chhapia Jaidev,962,241.0,26.3688212,83.9570755,26.37227,83.9602101,26.3633999,83.9490099
135862,Sukhwasa,800,307.0,27.8521155,80.1791368,27.86007,80.19173,27.8431499,80.1665
215453,Pavsara,1010,420.0,28.5221857,77.8910321,28.53673,77.9053299,28.5125,77.8748898
135865,Kamalpur Gangasingh,800,101.0,27.843766,80.1637901,27.84943,80.1691999,27.83829,80.15646
191162,Mamatouli Kalan,962,360.0,26.3521159,83.9439933,26.35493,83.94743,26.34963,83.9383299
