region_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
163091,0.031,0.0,0.0,0.006,0.639,0.064,0.006,0.256,0.0,0.172,0.825,0.0,0.003,0.0,0.0,0.008,0.0,0.0,0.031,0.0,0.069,0.408,0.483,0.0,0.0
199956,0.135,0.0,0.481,0.082,0.187,0.091,0.008,0.016,0.0,0.085,0.915,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.003,0.003,0.0,0.992,0.0,0.0
199957,0.138,0.004,0.565,0.067,0.03,0.134,0.001,0.054,0.007,0.325,0.661,0.0,0.009,0.005,0.0,0.002,0.0,0.0,0.099,0.011,0.003,0.005,0.881,0.0,0.0
199958,0.09,0.0,0.679,0.014,0.039,0.158,0.0,0.014,0.006,0.563,0.434,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.189,0.028,0.003,0.0,0.777,0.0,0.003
199959,0.14,0.001,0.475,0.103,0.102,0.086,0.009,0.075,0.009,0.36,0.631,0.0,0.003,0.004,0.001,0.01,0.001,0.0,0.057,0.015,0.008,0.007,0.9,0.002,0.0
195865,0.262,0.0,0.243,0.049,0.041,0.214,0.0,0.192,0.0,0.051,0.927,0.022,0.0,0.0,0.0,0.002,0.012,0.007,0.075,0.068,0.01,0.0,0.823,0.002,0.0
199962,0.079,0.003,0.515,0.061,0.054,0.173,0.02,0.084,0.01,0.195,0.802,0.002,0.0,0.002,0.0,0.008,0.003,0.002,0.262,0.015,0.005,0.002,0.701,0.0,0.002
163099,0.025,0.0,0.112,0.025,0.688,0.012,0.012,0.112,0.012,0.375,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.012,0.012,0.012,0.888,0.0,0.0
163100,0.099,0.004,0.013,0.022,0.707,0.004,0.009,0.142,0.0,0.642,0.353,0.004,0.0,0.0,0.0,0.004,0.0,0.009,0.03,0.0,0.0,0.103,0.853,0.0,0.0
163101,0.0,0.581,0.027,0.014,0.007,0.0,0.0,0.372,0.0,0.257,0.736,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.318,0.669,0.0,0.007
199966,0.169,0.0,0.619,0.006,0.0,0.0,0.012,0.188,0.006,0.106,0.888,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.006,0.0,0.988,0.0,0.0
163103,0.206,0.003,0.02,0.026,0.537,0.026,0.006,0.177,0.0,0.423,0.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.003,0.437,0.531,0.02,0.0
195872,0.0,0.0,0.519,0.023,0.008,0.0,0.0,0.451,0.0,0.842,0.128,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.977,0.0,0.0
195873,0.254,0.0,0.308,0.046,0.208,0.008,0.0,0.177,0.0,0.246,0.754,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008,0.008,0.008,0.023,0.946,0.0,0.0
199970,0.159,0.0,0.48,0.024,0.215,0.08,0.007,0.033,0.001,0.192,0.805,0.0,0.0,0.003,0.0,0.003,0.001,0.0,0.349,0.006,0.006,0.0,0.634,0.0,0.0
199971,0.094,0.003,0.674,0.052,0.036,0.114,0.008,0.017,0.002,0.19,0.807,0.002,0.0,0.0,0.001,0.009,0.003,0.002,0.081,0.014,0.002,0.007,0.882,0.002,0.0
199972,0.267,0.0,0.386,0.026,0.27,0.003,0.012,0.038,0.0,0.249,0.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.014,0.014,0.003,0.957,0.0,0.0
163109,0.237,0.0,0.0,0.025,0.397,0.237,0.011,0.09,0.003,0.363,0.637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.006,0.301,0.679,0.011,0.0
163113,0.296,0.015,0.01,0.019,0.442,0.126,0.0,0.092,0.0,0.252,0.748,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.005,0.0,0.0,0.301,0.665,0.0,0.0
163114,0.376,0.006,0.0,0.039,0.242,0.27,0.022,0.022,0.022,0.287,0.669,0.028,0.0,0.017,0.0,0.0,0.0,0.011,0.157,0.135,0.135,0.124,0.433,0.006,0.0
195883,0.039,0.0,0.494,0.071,0.045,0.032,0.0,0.318,0.0,0.006,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.019,0.006,0.0,0.0,0.968,0.0,0.0
163116,0.122,0.002,0.103,0.029,0.444,0.191,0.005,0.098,0.005,0.645,0.35,0.005,0.0,0.0,0.0,0.001,0.0,0.001,0.144,0.135,0.012,0.133,0.571,0.004,0.0
163118,0.081,0.0,0.007,0.004,0.593,0.004,0.025,0.284,0.004,0.649,0.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.2,0.789,0.0,0.0
163119,0.399,0.004,0.012,0.037,0.527,0.012,0.0,0.008,0.0,0.132,0.864,0.0,0.0,0.004,0.0,0.008,0.004,0.0,0.008,0.008,0.004,0.358,0.605,0.004,0.0
163120,0.097,0.009,0.013,0.046,0.333,0.258,0.004,0.238,0.0,0.556,0.437,0.002,0.0,0.004,0.0,0.0,0.002,0.0,0.0,0.002,0.015,0.36,0.62,0.0,0.0
163123,0.05,0.0,0.0,0.025,0.016,0.469,0.005,0.417,0.018,0.371,0.626,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.052,0.014,0.005,0.385,0.538,0.007,0.0
163124,0.19,0.01,0.0,0.015,0.505,0.025,0.0,0.235,0.02,0.08,0.92,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.01,0.115,0.385,0.47,0.005,0.0
195893,0.126,0.0,0.314,0.058,0.068,0.052,0.058,0.325,0.0,0.079,0.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.005,0.005,0.953,0.0,0.0
163128,0.11,0.0,0.0,0.012,0.785,0.052,0.0,0.041,0.0,0.657,0.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.006,0.035,0.163,0.756,0.0,0.0
199993,0.257,0.001,0.435,0.059,0.122,0.048,0.005,0.066,0.007,0.094,0.901,0.003,0.001,0.0,0.001,0.005,0.0,0.0,0.052,0.019,0.003,0.003,0.917,0.001,0.0
195898,0.252,0.013,0.352,0.17,0.038,0.013,0.0,0.138,0.025,0.057,0.918,0.025,0.0,0.0,0.0,0.0,0.006,0.0,0.038,0.119,0.006,0.0,0.83,0.0,0.0
199995,0.152,0.004,0.413,0.085,0.102,0.17,0.021,0.046,0.007,0.049,0.951,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.064,0.0,0.004,0.004,0.894,0.0,0.0
199996,0.093,0.008,0.52,0.05,0.111,0.084,0.009,0.113,0.012,0.087,0.908,0.003,0.0,0.002,0.0,0.003,0.0,0.0,0.017,0.161,0.002,0.015,0.801,0.0,0.002
163133,0.025,0.0,0.0,0.025,0.662,0.0,0.012,0.275,0.0,0.231,0.756,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.062,0.006,0.0,0.262,0.656,0.012,0.0
163134,0.014,0.0,0.016,0.018,0.578,0.079,0.014,0.28,0.002,0.235,0.752,0.0,0.009,0.005,0.0,0.0,0.0,0.0,0.016,0.005,0.002,0.381,0.587,0.009,0.0
195904,0.126,0.004,0.389,0.088,0.1,0.075,0.004,0.213,0.0,0.008,0.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.013,0.004,0.0,0.979,0.0,0.0
163137,0.075,0.0,0.0,0.025,0.756,0.005,0.01,0.124,0.005,0.224,0.776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.005,0.393,0.582,0.0,0.0
163139,0.196,0.0,0.019,0.01,0.654,0.017,0.018,0.085,0.001,0.513,0.483,0.001,0.002,0.001,0.0,0.0,0.0,0.0,0.003,0.001,0.017,0.208,0.771,0.0,0.0
163141,0.168,0.0,0.009,0.024,0.59,0.041,0.003,0.165,0.0,0.316,0.678,0.0,0.003,0.0,0.003,0.003,0.0,0.0,0.0,0.006,0.065,0.44,0.469,0.018,0.0
200007,0.168,0.0,0.555,0.131,0.016,0.021,0.0,0.099,0.01,0.126,0.864,0.005,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.0,0.0
200008,0.149,0.002,0.399,0.155,0.096,0.058,0.005,0.12,0.015,0.28,0.718,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.101,0.0,0.003,0.002,0.89,0.002,0.002
195914,0.161,0.0,0.466,0.174,0.025,0.006,0.0,0.168,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
200013,0.096,0.002,0.663,0.063,0.089,0.048,0.005,0.031,0.003,0.087,0.904,0.007,0.0,0.002,0.0,0.0,0.0,0.0,0.024,0.003,0.005,0.0,0.962,0.003,0.002
200014,0.15,0.003,0.718,0.051,0.024,0.013,0.003,0.035,0.003,0.249,0.743,0.0,0.0,0.008,0.0,0.0,0.003,0.0,0.0,0.003,0.003,0.008,0.981,0.003,0.0
195919,0.058,0.0,0.296,0.083,0.088,0.088,0.021,0.367,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.017,0.0,0.0,0.862,0.0,0.0
200016,0.228,0.0,0.516,0.041,0.05,0.107,0.0,0.052,0.006,0.213,0.786,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.011,0.047,0.007,0.0,0.934,0.001,0.0
195921,0.141,0.008,0.281,0.047,0.031,0.0,0.008,0.477,0.008,0.086,0.906,0.008,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.109,0.0,0.008,0.859,0.0,0.0
195922,0.114,0.0,0.325,0.114,0.024,0.317,0.0,0.106,0.0,0.618,0.382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992,0.008,0.0
163043,0.209,0.003,0.044,0.05,0.163,0.35,0.011,0.16,0.011,0.512,0.482,0.006,0.0,0.0,0.0,0.008,0.006,0.0,0.052,0.069,0.011,0.347,0.507,0.0,0.0
